User,Session,Context,Utterance,Gist,Response,ASR_Error,Gist_Correct,Response_Appropriate
p22,1,"Truth be told, i've already scanned the results, but don't understand what they are telling me. it all seems very complicated . could you explain to me what they mean ?",Hi sophie yes i'm i am happy to see you today and i'd be happy to go over the results with you and hopefully make sense of them together before i do that i wanted to check with you how you been feeling in the last couple of days,((HOW AM I FEELING ABOUT MY CONDITION ?)),It feels like my condition has gotten worse . but i'm not yet sure how bad it really is .,0,-1,1
p22,1,It feels like my condition has gotten worse . but i'm not yet sure how bad it really is .,What makes you say that you feel like things have gotten worse,((HOW DO I FEEL ABOUT MY PROGNOSIS ?)),I feel very anxious about my condition . i feel like it's gotten worse . i want to know what this means for me .,0,-1,-1
p22,1,I feel very anxious about my condition . i feel like it's gotten worse . i want to know what this means for me .,Yeah absolutely maybe i could start by asking you based on what you saw from the ct scan what is your understanding of the condition now,((THE TEST RESULTS DO NOT APPEAR CONCLUSIVE |.|)),"That's unfortunate. i was hoping to get some answers today about what my future would look like. i'm wondering, is there any way you could still tell me how much time i can expect ?",0,-1,-1
p22,1,"That's unfortunate. i was hoping to get some answers today about what my future would look like. i'm wondering, is there any way you could still tell me how much time i can expect ?",I think,((NIL GIST |:| NOTHING FOUND FOR PROGNOSIS |.|)),I know it's not easy to say for sure. i would like to be fully prepared for the future though .,2,0,-1
p22,1,Is there really no way to tell what my tests mean for me ?,Absolutely i think there is i think that what i have to say might be a little difficult to hear but it seems like you want to know based on the test it looks like the cancer really has not responded to the treatment and that there may not be any further treatment available to be able to shrink the tumor,((NIL GIST |:| NOTHING FOUND FOR TEST RESULTS |.|)),"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",0,0,0
p22,1,"I am sorry, i'm having trouble understanding. could you try saying it again, a bit more clearly ?",Sure i was just saying that as you suspected from the scan it looks like the radiation treatment was not entirely successful and that the tumor size has not shrunk and,((THE TEST RESULTS SHOW THAT THE RADIATION IS NOT WORKING |.|)),"I'm not surprised to hear the radiation did not help, as my pain has gotten worse in these past couple of weeks . but what does this mean for my future ? how long do i have left ?",2,1,1
p22,1,"I'm not surprised to hear the radiation did not help, as my pain has gotten worse in these past couple of weeks . but what does this mean for my future ? how long do i have left ?",That's a great question i think that i don't have a specific answer for you on how long exactly that means but what i can assure you is that for however long you have we would love to work with you to make your quality of life something that is acceptable to you and to involve the family members that you care about 10 able you to do the things that you love,((THE PROGNOSIS IS THAT MY CANCER SHOULD BE TREATED WITH COMFORT CARE |.|)),I'm not ready to talk about treatment options yet. i want to figure out what's wrong with me and what it all means for my future.,0,-1,1
p22,1,I'm not ready to talk about treatment options yet. i want to figure out what's wrong with me and what it all means for my future.,I understand that what do you think would be helpful for you and figuring out what this means for your future and what it means to you,((HOW DO I FEEL ABOUT MY PROGNOSIS ?)),"I'm just scared about it getting worse , and not being able to be there for my family .",0,-1,1
p22,1,"I'm just scared about it getting worse , and not being able to be there for my family .",I hear that family is very important to you,((NIL GIST |:| NOTHING FOUND FOR PROGNOSIS |.|)),I suppose these things can be hard to predict .,0,0,-1
p22,1,I still don't quite understand the test results. could you please explain in simple terms ?,Sure so the test results show that the cancer has not responded to the treatment and that the treatment is not working,((THE TEST RESULTS SHOW THAT THE RADIATION IS NOT WORKING |.|)),"If the radiation couldn't stop my cancer, then what does that mean for my future ? how much time do i have left ?",0,1,1
